Designação;Alt. Total;Alt. Fora Solo;Bet./Met.;Fz;Fxa;Fya;Fxb;Fyb;Peso;V.Esc;B.Normal;B.Moldado;B.Ciclopico;
F165CD/27;38,9;35,8;M;5047;417;15736;14486;1642;9451;61,95;10,58;3,97;0,00;
F165CD/30;41,9;38,8;M;5047;417;15736;14486;1642;10489;61,95;10,58;3,97;0,00;
F165CD/33;44,9;41,8;M;5047;417;15736;14486;1642;11495;61,95;10,58;3,97;0,00;
F20CA/15;23,3;20,6;M;2750;200;1725;200;1725;1685;11,42;2,34;4,62;0,00;
F20CA/18;26,3;23,6;M;2750;200;1725;200;1725;1901;12,10;2,47;4,90;0,00;
F20CA/21;29,3;26,6;M;2750;200;1725;200;1725;2189;13,10;2,66;5,22;0,00;
F20CA/24;32,3;29,6;M;2750;200;1725;200;1725;2409;13,83;2,80;5,51;0,00;
F20CA/27;35,3;32,6;M;2750;200;1725;200;1725;2789;14,56;2,94;5,80;0,00;
F20CA/30;38,3;35,6;M;2750;200;1725;200;1725;3072;14,56;2,94;5,80;0,00;
F20CA/33;41,3;38,6;M;2750;200;1735;200;1725;3434;15,29;3,08;6,09;0,00;
F20CD/15;25,4;22,5;M;2744;273;1546;273;1546;2279;13,26;2,52;5,37;0,00;
F20CD/18;28,4;25,5;M;2744;273;1546;273;1546;2586;14,04;2,66;5,69;0,00;
F20CD/21;31,4;28,5;M;2744;273;1546;273;1546;2896;15,12;2,85;6,05;0,00;
F20CD/24;34,4;31,5;M;2744;273;1546;273;1546;3221;15,96;3,00;6,38;0,00;
F20CD/27;37,4;34,5;M;2744;273;1546;273;1546;3557;16,80;3,15;6,72;0,00;
F20CD/30;40,4;37,5;M;2744;273;1546;273;1546;3907;18,48;3,45;7,39;0,00;
F20CD/33;43,4;40,5;M;2744;273;1546;273;1546;4254;18,48;3,45;7,39;0,00;
F20MD/15;22,6;19,7;M;2744;273;1546;273;1546;2279;13,26;2,52;5,37;0,00;
F20MD/18;25,6;22,7;M;2744;273;1546;273;1546;2586;14,04;2,66;5,69;0,00;
F20MD/21;28,6;25,7;M;2744;273;1546;273;1546;2896;15,12;2,85;6,05;0,00;
F20MD/24;31,6;28,7;M;2744;273;1546;273;1546;3221;15,96;3,00;6,38;0,00;
F20MD/27;34,6;31,7;M;2744;273;1546;273;1546;3557;16,80;3,15;6,72;0,00;
F20MD/30;37,6;34,7;M;2744;273;1546;273;1546;3907;18,48;3,45;7,39;0,00;
F20MD/33;40,6;37,7;M;2744;273;1546;273;1546;4254;18,48;3,45;7,39;0,00;
F30CD/15;25,7;22,5;M;5096;417;2453;417;2453;2634;20,33;4,14;7,52;0,00;
F30CD/18;28,7;25,5;M;5096;417;2453;417;2453;2977;20,33;4,14;7,52;0,00;
F30CD/21;31,7;28,5;M;5096;417;2453;417;2453;3340;22,77;4,61;8,37;0,00;
F30CD/24;34,7;31,5;M;5096;417;2453;417;2453;3705;22,77;4,61;8,37;0,00;
F30CD/27;37,7;34,5;M;5096;417;2453;417;2453;4177;23,76;4,80;8,74;0,00;
F30CD/30;40,7;37,5;M;5096;417;2453;417;2453;4605;24,75;4,99;9,10;0,00;
F30CD/33;43,7;40,5;M;5096;417;2453;417;2453;5034;26,40;5,30;9,65;0,00;
F45CA/15;23,2;20,7;M;2000;200;4325;200;4325;2297;21,87;3,36;2,41;0,00;
F45CA/18;26,2;23,7;M;2000;200;4325;200;4325;2598;21,87;3,36;2,41;0,00;
F45CA/21;29,2;26,7;M;2000;200;4325;200;4325;3116;21,87;3,36;2,41;0,00;
F45CA/24;32,1;29,6;M;2000;200;4325;200;4325;3478;21,87;3,36;2,41;0,00;
F45CA/27;35,1;32,6;M;2000;200;4325;200;4325;4048;21,87;3,36;2,41;0,00;
F45CA/30;38,1;35,6;M;2000;200;4325;200;4325;4504;21,87;3,36;2,41;0,00;
F45CA/33;41,1;38,6;M;2000;200;4325;200;4325;5226;21,87;3,36;2,41;0,00;
F45CM/15;20,4;17,9;M;2000;200;4325;200;4325;2297;21,87;3,36;2,41;0,00;
F45CM/18;23,4;20,9;M;2000;200;4325;200;4325;2598;21,87;3,36;2,41;0,00;
F45CM/21;26,4;23,9;M;2000;200;4325;200;4325;3116;21,87;3,36;2,41;0,00;
F45CM/24;29,3;26,8;M;2000;200;4325;200;4325;3478;21,87;3,36;2,41;0,00;
F45CM/27;32,3;29,8;M;2000;200;4325;200;4325;4048;21,87;3,36;2,41;0,00;
